annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022448;12/08/2022;soir;12/10/2022;4;5;7;9;14;25;26;27;29;30;31;33;36;42;51;52;62;63;68;69;3;4 178 862;eur;
2022447;12/08/2022;midi;12/10/2022;14;16;19;23;27;30;31;33;36;38;39;44;49;50;52;56;58;59;67;70;5;5 217 118;eur;
2022446;11/08/2022;soir;11/10/2022;4;9;14;16;20;24;31;32;38;42;45;46;49;50;57;58;63;64;65;70;2;7 510 848;eur;
2022445;11/08/2022;midi;11/10/2022;1;7;9;13;14;15;19;27;31;33;35;39;41;44;48;56;59;63;67;68;2;2 054 745;eur;
2022444;10/08/2022;soir;10/10/2022;1;2;6;9;10;12;15;17;19;28;30;33;35;43;45;48;58;61;63;68;2;3 780 064;eur;
2022443;10/08/2022;midi;10/10/2022;4;5;8;13;16;17;18;21;26;28;30;35;44;46;55;59;61;62;63;64;5;1 021 518;eur;
2022442;09/08/2022;soir;09/10/2022;5;13;14;15;16;20;23;27;30;31;32;43;47;48;52;55;61;62;69;70;3;7 344 179;eur;
2022441;09/08/2022;midi;09/10/2022;1;5;6;13;18;23;26;27;30;38;42;43;44;46;47;48;54;60;61;62;2;2 851 036;eur;
2022440;08/08/2022;soir;08/10/2022;3;15;18;20;21;27;29;35;36;38;40;42;45;49;51;53;57;59;61;68;2;6 208 133;eur;
2022439;08/08/2022;midi;08/10/2022;6;7;9;10;15;22;23;28;33;38;39;41;42;46;49;53;56;59;60;70;2;2 968 640;eur;
2022438;07/08/2022;soir;07/10/2022;6;7;9;11;12;16;17;19;20;21;27;29;32;36;38;40;51;54;57;64;2;2 049 359;eur;
2022437;07/08/2022;midi;07/10/2022;2;3;4;6;9;11;14;22;26;31;33;38;40;46;50;51;54;55;59;65;2;4 527 093;eur;
